shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
60922,33.692828,-117.781863,584
60922,33.693219,-117.781662,585
60922,33.693444,-117.781597,586
60922,33.693467,-117.781575,587
60922,33.693555,-117.781487,588
60922,33.693935,-117.781372,589
60922,33.694016,-117.781347,590
60922,33.694107,-117.781317,591
60922,33.694394,-117.781222,592
60922,33.694515,-117.781182,593
60922,33.694817,-117.781087,594
60922,33.69522,-117.780901,595
60922,33.695291,-117.780863,596
60922,33.695354,-117.78083,597
60922,33.695418,-117.780789,598
60922,33.695488,-117.780744,599
60922,33.695726,-117.780582,600
60922,33.69581,-117.780525,601
60922,33.695963,-117.780386,602
60922,33.696179,-117.780191,603
60922,33.696692,-117.779676,604
60922,33.697428,-117.778926,605
60922,33.697645,-117.778722,606
60922,33.697736,-117.778633,607
60922,33.698084,-117.778293,608
60922,33.69815,-117.778228,609
60922,33.698239,-117.778145,610
60922,33.698505,-117.777872,611
60922,33.698589,-117.777786,612
60922,33.698651,-117.777727,613
60922,33.698969,-117.777409,614
60922,33.699458,-117.776909,615
60922,33.699663,-117.776672,616
60922,33.699926,-117.776319,617
60922,33.700252,-117.775788,618
60922,33.700344,-117.775673,619
60922,33.700732,-117.774944,620
60922,33.701131,-117.774192,621
60922,33.70125,-117.773976,622
60922,33.701331,-117.773839,623
60922,33.701435,-117.773692,624
60922,33.701665,-117.773407,625
60922,33.70178,-117.773291,626
60922,33.701837,-117.77316,627
60922,33.702019,-117.773024,628
60922,33.702129,-117.772942,629
60922,33.702345,-117.772808,630
60922,33.702504,-117.772729,631
60922,33.702697,-117.772648,632
60922,33.702849,-117.772599,633
60922,33.702933,-117.772576,634
60922,33.703057,-117.772541,635
60922,33.703193,-117.772506,636
60922,33.70345,-117.772441,637
60922,33.703583,-117.77241,638
60922,33.703708,-117.772387,639
60922,33.703906,-117.77235,640
60922,33.704201,-117.772311,641
60922,33.704614,-117.772257,642
60922,33.704749,-117.77224,643
60922,33.704976,-117.772212,644
60922,33.705113,-117.772195,645
60922,33.705373,-117.772162,646
60922,33.705451,-117.772146,647
60922,33.705568,-117.772117,648
60922,33.7057,-117.772075,649
60922,33.705832,-117.77203,650
60922,33.705959,-117.771976,651
60922,33.706165,-117.771882,652
60922,33.706284,-117.771818,653
60922,33.706459,-117.771705,654
60922,33.706652,-117.771565,655
60922,33.70676,-117.771483,656
60922,33.706833,-117.771413,657
60922,33.707075,-117.771181,658
60922,33.70714,-117.771116,659
60922,33.707212,-117.771044,660
60922,33.707297,-117.770957,661
60922,33.707362,-117.770893,662
60922,33.707493,-117.770762,663
60922,33.708715,-117.769537,664
60922,33.709184,-117.769068,665
60922,33.709342,-117.768892,666
60922,33.709502,-117.768683,667
60922,33.709586,-117.768565,668
60922,33.709639,-117.768474,669
60922,33.709695,-117.768379,670
60922,33.709776,-117.76824,671
60922,33.709835,-117.768122,672
60922,33.709888,-117.768013,673
60922,33.709928,-117.767931,674
60922,33.709981,-117.767804,675
60922,33.709984,-117.767808,676
60922,33.710059,-117.767911,677
60922,33.710112,-117.767988,678
60922,33.710183,-117.76809,679
60922,33.710826,-117.769012,680
60922,33.710895,-117.76911,681
60922,33.712025,-117.770735,682
60922,33.712112,-117.770862,683
60922,33.712394,-117.771273,684
60922,33.712444,-117.771346,685
60922,33.712501,-117.771426,686
60922,33.712559,-117.77151,687
60922,33.712795,-117.771848,688
60922,33.714766,-117.774663,689
60922,33.715167,-117.775249,690
60922,33.715522,-117.775758,691
60922,33.715597,-117.775864,692
60922,33.715883,-117.776269,693
60922,33.715965,-117.776388,694
60922,33.716031,-117.776319,695
60922,33.716096,-117.776251,696
60922,33.71719,-117.775121,697
60922,33.717294,-117.775013,698
60922,33.718184,-117.774132,699
60922,33.718627,-117.773693,700
60922,33.718705,-117.773615,701
60922,33.718767,-117.77355,702
60922,33.718947,-117.773361,703
60922,33.719949,-117.772305,704
60922,33.720058,-117.772196,705
60922,33.72055,-117.771707,706
60922,33.720739,-117.771519,707
60922,33.721203,-117.771063,708
60922,33.721213,-117.771053,709
60922,33.721301,-117.77097,710
60922,33.721209,-117.770842,711
60922,33.721107,-117.770702,712
60922,33.721088,-117.770676,713
60922,33.720238,-117.769477,714
60922,33.719628,-117.768603,715
60922,33.719015,-117.767739,716
60922,33.718831,-117.76748,717
60922,33.718681,-117.767262,718
60922,33.716213,-117.763682,719
60922,33.715746,-117.763012,720
60922,33.715557,-117.762757,721
60922,33.715352,-117.762499,722
60922,33.715105,-117.762152,723
60922,33.714459,-117.761223,724
